name,lga,state_id,state,postcode,latitude,longitude,map,type,id
Aarons Pass,Mid-Western Regional,NSW,New South Wales,2850,-32.87210,149.80960,8832,Locality,547b1a6c0a9bd336e0c9a3e3df7c28bd
Abba River,Busselton,WA,Western Australia,6280,-33.68130,115.49100,1930,Locality,d5887798a8505a639abe5f5565b3bf3b
Abbey,Busselton,WA,Western Australia,6280,-33.66020,115.25960,1930,Suburb,a3aa8751ca0d44aadf581b7193752c67
Abbeyard,Alpine,VIC,Victoria,3737,-37.02535,146.75240,8223,Locality,c89ef3b0a87aacfa5348c1342002eceb
Abbeywood,South Burnett,QLD,Queensland,4613,-26.10389,151.64555,9245,Locality,8279cd097cd85c72c1b911aa6da99bcf
Abbotsbury,Fairfield,NSW,New South Wales,2176,-33.87380,150.85930,9030,Suburb,e6e5291777b34785b0550985f5b8f730
Abbotsford,Yarra,VIC,Victoria,3067,-37.80252,144.99871,7822,Suburb,54bac52a74693e2dd2dd21f91ce00866
Abbotsford,Bundaberg,QLD,Queensland,4670,-24.83222,152.00472,9348,Locality,fad2a567da7e0744818cf7d7b9aaf260
Abbotsford,Canada Bay,NSW,New South Wales,2046,-33.85063,151.12856,9130,Suburb,6771d84a8d0280514a94f8bc92ca952a
Abbotsham,Central Coast,TAS,Tasmania,7315,-41.21000,146.17000,8115,Locality,5c882ef5b40ce4fa534730ceeef6af00
Abbotts,Meekatharra,WA,Western Australia,6642,-26.32425,118.38890,2545,Locality,2e7271bf5a4b862dac281f175f944919
Abels Bay,Huon Valley,TAS,Tasmania,7112,-43.23071,147.09763,8311,Locality,d1cc3b36e7f9de4df4b0693234586584
Abercorn,North Burnett,QLD,Queensland,4630,-25.13314,151.12941,9147,Town,3d6cbf4fd1f49800e5680d2196dd6b8e
Abercrombie,Bathurst Regional,NSW,New South Wales,2795,-33.39020,149.56510,8831,Suburb,84965941c89ec3bcb7e726010460ed87
Abercrombie River,Bathurst Regional,NSW,New South Wales,2795,-33.91180,149.35240,8730,Locality,287959ae3195303abd334d8ce78c1045
Aberdare,Cessnock,NSW,New South Wales,2325,-32.83180,151.36790,9132,Town,50fbbfe1cd1647fbf3c58ba3ef7d0ad5
Aberdeen,Upper Hunter Shire,NSW,New South Wales,2336,-32.16900,150.89125,9033,Town,24bb0ac772756ceee7ec204be9ce5fed
Aberdeen,Devonport,TAS,Tasmania,7310,-41.24000,146.32001,8115,Locality,7e106f7a575a196b80dcb68f87fbdd59
Aberfeldie,Moonee Valley,VIC,Victoria,3040,-37.75987,144.89793,7822,Suburb,76994d1d96b9b51a3382758f6c12d3c1
Aberfeldy,Baw Baw,VIC,Victoria,3833,-37.70208,146.37834,8122,Locality,1ee53d1aa821ad402e307d846229f4f6
Aberfoyle,Armidale Dumaresq,NSW,New South Wales,2350,-30.27350,152.01790,9337,Locality,0d37d98868ecf92f46c9b2ecba79f31e
Aberfoyle Park,Onkaparinga,SA,South Australia,5159,-35.07065,138.60018,6627,Suburb,34c3ef05c1150dc33e053dc3bbc483ea
Aberglasslyn,Maitland,NSW,New South Wales,2320,-32.69850,151.53460,9232,Suburb,5aef9e8a746913f3fc3f55751001b326
Abergowrie,Hinchinbrook,QLD,Queensland,4850,-18.47568,145.88611,8061,Town,d61ad4fe007be31437986bb39dd5d997
Abermain,Cessnock,NSW,New South Wales,2326,-32.79850,151.41790,9132,Town,0a4b05ba42480f769c085cc2392a2eac
Abernethy,Cessnock,NSW,New South Wales,2325,-32.87320,151.40440,9132,Locality,5969d7781e84235b3a730f8511849588
Abingdon Downs,Etheridge,QLD,Queensland,4871,-17.81292,143.47002,7562,Locality,3dc6cc8e0789b81040cbea12a03dfbee
Abington,Bundaberg,QLD,Queensland,4660,-25.20528,152.34694,9347,Locality,a8814af07315c6a4017105a59c532a3d
Abington,Uralla,NSW,New South Wales,2358,-30.32380,151.23650,9137,Locality,0300a7fdcfc6d43a0ac458abd3d4b132
Acacia Creek,Southern Downs,NSW,New South Wales,4373,-28.36520,152.31790,9341,Locality,67109b9442adb8f5329769ab78fad4fe
Acacia Gardens,Blacktown,NSW,New South Wales,2763,-33.73240,150.91290,9030,Suburb,d22e8d6bcc143bb19a816b02bf01e0fd
Acacia Hills,Kentish,TAS,Tasmania,7306,-41.27000,146.33000,8115,Locality,2837079debfdf7ad3d3c42adc72627fc
Acacia Ridge,Brisbane,QLD,Queensland,4110,-27.58583,153.02611,9542,Suburb,8c231975226cad56b8f38a07306bee03
Acheron,Murrindindi,VIC,Victoria,3714,-37.27052,145.70408,8023,Locality,d91f523073fa05662b65790fb535d985
Acland,Toowoomba,QLD,Queensland,4401,-27.30480,151.69025,9243,Town,121ee8001011aa4e2d440a8bb5d30bfc
Acton,Burnie,TAS,Tasmania,7320,-41.06000,145.89000,8015,Locality,73eb03db1d0173a0889fc48083e2a4f0
Acton,Unincorporated,ACT,Australian Capital Territory,2601,-35.28519,149.11297,8727,Suburb,503f1eb24e3262d640a54e2237959504
Acton Park,Clarence,TAS,Tasmania,7170,-42.85873,147.47540,8312,Suburb,4b88cc774e2a9ae6caef7d076289a2b2
Acton Park,Busselton,WA,Western Australia,6280,-33.76103,115.37100,1930,Locality,0bd7849ffbd04b487d6e0004267fd130
Ada,Baw Baw,VIC,Victoria,3833,-37.84073,145.84959,8022,Locality,0bb2f8a2944105be65aa81214c7065b6
Adaminaby,Snowy River,NSW,New South Wales,2629,-35.99514,148.77389,8626,Town,a484abee8e28d2d5fd11b285434ba7bf
Adams Estate,Bass Coast,VIC,Victoria,3984,-38.42517,145.53163,8021,Locality,756814fd9fbdbed4b655afbbbe382f47
Adamstown,Newcastle,NSW,New South Wales,2289,-32.93920,151.72560,9232,Suburb,842aa0bc9c2613b087d4070f0c6d48f2
Adamstown Heights,Newcastle,NSW,New South Wales,2289,-32.94910,151.71070,9232,Suburb,c784d849ddf70d772189769f69647143
Adamsvale,Corrigin,WA,Western Australia,6373,-32.21348,117.72180,2433,Locality,6556b8411067e63e2810a5ba1b456f56
